"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","entrez"
"EGR1",2631.49750881727,-5.41885137851571,0.498916649372396,-8.8568929982079,8.22754399680998e-19,3.55237924635599e-16,ENSG00000120738,1958
"RN7SKP80",217.995249760698,7.70423903670142,0.760168585386925,8.81941080647127,1.15063561312658e-18,4.88661740879624e-16,ENSG00000202058,106479130
"TNF",116.917430034665,-5.67857524086687,0.530737632576039,-8.8152317712209,1.19437719717628e-18,4.99057026936269e-16,ENSG00000232810,7124
"RNU4_1",634.915398608936,9.48370310027582,0.965621310650732,8.78574551607468,1.55330892150145e-18,6.34044024684246e-16,NA,NA
"KLF4",510.244818375285,-4.73128025843176,0.424760973119235,-8.78442346299162,1.57168550134106e-18,6.34044024684246e-16,ENSG00000136826,9314
"H1_3",415.849576813403,7.85520141380821,0.78050262244394,8.78306006499111,1.5908616384033e-18,6.34044024684246e-16,NA,NA
"RN7SL3",1018.28518580126,11.5287026716879,1.20801287324056,8.71572058950339,2.88915065526477e-18,1.13403540720135e-15,ENSG00000278771,378707
"EPHA2",423.603899750071,-4.37633674028321,0.387509063590988,-8.71292327718791,2.9613709028623e-18,1.14503394939628e-15,ENSG00000142627,1969
"FTH1",692.230966318148,-4.00857186771931,0.345583852645317,-8.70576517013107,3.15439350409708e-18,1.20173114878145e-15,ENSG00000167996,2495
"TIPARP",880.067553307378,-4.14562762895187,0.36193416527875,-8.69115969344647,3.58758335770261e-18,1.34695557195136e-15,ENSG00000163659,25976
"SNORD17",1667.86895206067,9.66183825464871,0.998478958012138,8.67503334461196,4.1342932230216e-18,1.53004286050854e-15,ENSG00000212232,692086
"MYADM",921.394286688117,-3.92984968447536,0.338825006876231,-8.64708809862313,5.28301843399957e-18,1.92346629750971e-15,ENSG00000179820,91663
"ZNF165",144.873789117138,-4.38291934185986,0.39128171732673,-8.64573833137989,5.3458493561607e-18,1.92346629750971e-15,ENSG00000197279,7718
"RPL21",277.371119591871,-3.60039103140837,0.301090076361726,-8.63658830218067,5.79166371856158e-18,2.05532657935693e-15,ENSG00000122026,6144
"RPL27A",759.271700826508,-3.31751317799115,0.268654262917508,-8.62637783158035,6.33255772782679e-18,2.21690865536596e-15,ENSG00000166441,6157
"NFKBIA",3077.89696304811,-4.48274002744943,0.404607166363162,-8.60770722069572,7.45363324356658e-18,2.57458430410448e-15,ENSG00000100906,4792
"MSR1",821.215197335595,4.57240764762257,0.41538119388054,8.60031147353763,7.95000415648678e-18,2.70990536418351e-15,ENSG00000038945,4481
"CD84",389.896297679932,4.56721339330421,0.416322532561675,8.56838896361142,1.04942811680615e-17,3.53071231090651e-15,ENSG00000066294,8832
"SCARNA5",1496.31520861237,12.9636715004082,1.39824138601199,8.55622757278736,1.1662097280779e-17,3.87331143789564e-15,ENSG00000252010,677775
"MT2A",924.367745043161,-5.41672889827398,0.516430565245565,-8.55241574668185,1.20538703847045e-17,3.9527540023564e-15,ENSG00000125148,4502
"EIF1",2357.04910719337,-4.11755621708781,0.36477373653317,-8.5465479141049,1.26824792904625e-17,4.10690385623401e-15,ENSG00000173812,10209
"H4C2",345.630095157241,9.33890720165389,0.982711900716416,8.48560722178562,2.14595150268644e-17,6.86333575661665e-15,ENSG00000278705,8366
"KLF10",821.614485126386,-3.09204220277659,0.247804936914793,-8.44229428526652,3.11168740488824e-17,9.83065535500424e-15,ENSG00000155090,7071
"CCL2",589.869739208822,-4.65930406892455,0.434274098078752,-8.42625449022513,3.56905505794244e-17,1.11397518471153e-14,ENSG00000108691,6347
"SLC10A6",47.48877731042,-4.57399477703768,0.425335961933032,-8.40275710709926,4.36116141201806e-17,1.34500294690167e-14,ENSG00000145283,345274
"NFIL3",640.892866547365,-4.95734103890284,0.471706133100044,-8.38942036410524,4.88544882698962e-17,1.48896985072933e-14,ENSG00000165030,4783
"IER5",998.211424224608,-4.17241828215225,0.379616953902242,-8.3568930458496,6.43916297993514e-17,1.93968553672325e-14,ENSG00000162783,51278
"YBX3",1047.10176277798,-4.16738870728337,0.379799885777262,-8.33962522342862,7.45263567695517e-17,2.21917218215173e-14,ENSG00000060138,8531
"STK40",514.427526315473,-3.17376334070386,0.261201424574706,-8.32217260776136,8.63654161400376e-17,2.5424800801407e-14,ENSG00000196182,83931
"MTRNR2L12",126.479729310238,6.68195354463388,0.684929079106627,8.29568157924469,1.0796437403542e-16,3.14261244242876e-14,ENSG00000269028,100463498
"SCARNA13",445.039314208114,7.49476813286922,0.792316149070216,8.19719267427634,2.46065877559237e-16,7.08286958227734e-14,ENSG00000252481,677768
"RNU5B_1",1036.45875246612,13.3956912044939,1.51847717436959,8.16323841656698,3.2615982924638e-16,9.28516102907331e-14,NA,NA
"PIK3CG",197.724178254476,4.70319349569553,0.458021628624861,8.08519350235445,6.20655751248163e-16,1.74768564041684e-13,ENSG00000105851,5294
"PCAT19",84.7664325119525,-3.91063172387642,0.361270544373852,-8.0566538545817,7.84112846290431e-16,2.18421799956988e-13,ENSG00000267107,100505495
"DNAJB1",6545.20530882744,-5.62801607514641,0.577473074794913,-8.01425430404704,1.10807228606659e-15,3.05380006838734e-13,ENSG00000132002,3337
"C11orf96",139.262434157306,-4.61460408134205,0.45151461811121,-8.00550842952278,1.18974081100276e-15,3.2443605736671e-13,ENSG00000187479,387763
"NACA",1286.60936253244,-3.96177196842623,0.370282778046964,-7.99867599581036,1.25764167042738e-15,3.39379844938455e-13,ENSG00000196531,4666
"TLR7",119.183729048255,4.65923323475461,0.458392477510243,7.98275149415566,1.43106834415591e-15,3.82198520862917e-13,ENSG00000196664,51284
"GPIHBP1",37.2612212588225,-5.15553748784014,0.523558256729286,-7.93710620437952,2.06952836058205e-15,5.47073486828965e-13,ENSG00000277494,338328
"ATN1",621.280152437622,-3.70009894406487,0.340453572135895,-7.93088739567433,2.17585444221929e-15,5.69370557375081e-13,ENSG00000111676,1822
"GADD45A",923.792813945795,-5.00134778037631,0.507396751360127,-7.88603350267873,3.11942896138174e-15,8.08119266735554e-13,ENSG00000116717,1647
