ID_REF,SRR1027183,SRR1027184,SRR1027185,SRR1027186,SRR1027187,SRR1027188,SRR1027189,SRR1027190
CD52,120,25,113,57,39,27,16,5
MMGT1,344,491,377,235,317,497,592,789
SPRR1B,0,0,0,0,0,1,1,1
SPRR1A,2,0,1,0,0,0,0,0
OR4K14,0,0,0,0,0,0,0,0
OR4K15,0,0,0,0,0,0,0,0
TM2D2,128,178,123,146,123,383,388,417
HTRA4,19,9,29,10,2,3,3,0
PLEKHA2,515,256,411,186,194,328,491,553
CLIC4,1516,3828,2434,1115,1123,5043,7855,13002
SLC38A11,22,1,2,8,1,23,27,23
GPR183,391,190,224,98,91,127,976,241
CRCT1,0,0,0,0,1,0,0,0
CCDC8,21,2,13,11,45,112,103,214
METTL15,159,79,111,70,26,73,92,122
ZNF280A,0,3,1,0,0,0,1,0
MUC15,197,14,68,2,89,191,108,201
CT55,0,1,1,0,0,0,0,0
ZEB2,1466,557,1396,745,275,295,1063,1651
GJB1,2,0,59,13,37,58,43,34
PCBP1,183,229,207,147,97,4619,3327,3904
HINT1,431,842,606,904,298,1324,1465,731
DTWD2,55,63,84,170,42,72,128,119
VPREB1,0,0,4,0,1,0,0,0
CLIC3,5,19,30,1,11,15,2,17
INO80E,66,58,66,37,35,437,373,251
BNC1,11,6,3,0,1,367,227,311
DFFB,32,62,28,20,20,20,29,27
NFU1,77,85,103,73,56,177,109,73
ANTXR1,941,1414,909,937,493,1471,1976,3289
GKN1,0,0,0,0,0,0,0,0
CKAP2L,84,191,169,47,24,3,21,2
C15orf40,56,56,66,66,26,101,111,91
RAMAC,19,26,27,29,13,36,31,35
PROKR1,2,9,4,2,0,1,1,1
APLF,81,164,106,42,47,42,44,56
BOLA2B,0,0,0,0,1,1,0,1
RGPD8,4,1,9,2,2,2,7,7
HIC2,33,59,40,35,21,117,186,275
LUZP1,414,757,504,433,238,1244,1827,4022
HEXD,71,42,56,28,35,263,192,131
BCRP6,0,0,0,0,0,0,0,0
BCRP2,0,1,1,0,0,4,1,1
DRD5,1,0,0,0,0,0,0,1
BUB1,316,875,438,161,62,23,49,10
SPNS1,9,11,0,7,1,3,10,10
LRRC45,54,46,73,39,32,120,108,53
CHRNA5,7,48,18,2,0,51,15,29
MT1B,0,1,0,0,0,0,0,0
CENPX,75,93,135,112,78,263,237,123
AGPAT2,55,59,91,60,67,150,152,135
ASPSCR1,65,74,60,77,31,210,207,104
GP9,0,0,0,2,0,0,0,0
FASN,4350,1261,4239,5519,1604,17846,13562,9536
CNBP,1277,2495,1657,1018,566,6252,5686,6074
MT1E,25,55,11,63,12,660,931,1205
ACTRT2,0,0,0,0,0,0,0,0
DUS1L,187,201,191,169,139,1056,943,595
GPS1,258,266,257,277,147,1128,955,597
RFNG,35,43,37,49,12,551,465,359
DCXR,163,73,107,205,100,1303,614,406
ZNF32,93,123,119,87,73,186,165,105
LDB2,192,107,83,93,86,331,814,1314
RAC3,17,3,17,22,29,162,148,60
NRG4,12,8,6,10,1,2,6,1
LIMS1,739,490,418,283,208,324,1055,1126
TMEM266,16,3,9,8,7,17,8,9
NLGN1,36,0,4,26,9,7,42,91
TAPT1,247,254,264,164,78,340,382,543
PRYP3,0,0,0,0,0,0,0,0
UGP2,824,1553,924,773,494,1302,1849,1544
TAS2R1,0,1,1,0,2,0,3,0
LINGO1,14,35,70,7,41,17,35,32
PRY,0,0,0,0,0,0,0,0
RBMY1F,0,0,0,0,0,0,0,0
PRY2,0,0,0,0,0,0,0,0
RBMY1HP,0,0,0,0,0,0,0,0
HNRNPF,1070,1609,1484,1679,608,4850,5120,6897
BTD,82,151,87,56,55,225,311,312
CSGALNACT2,305,464,328,267,138,695,806,1403
TACR3,0,8,1,0,1,0,0,1
GSX1,0,0,0,0,0,0,0,0
TSPY14P,0,0,0,0,0,0,0,0
PCDH7,259,70,200,146,353,87,159,218
ROBO1,484,1101,627,217,193,315,593,720
ONECUT1,0,0,26,9,0,0,0,0
AVEN,65,86,72,26,22,101,106,103
P2RY1,33,29,35,44,15,5,15,13
CTNND2,175,52,68,15,130,229,136,169
TRIM56,333,171,352,146,104,379,647,827
MUC17,1,0,0,0,1,0,0,0
AHSP,0,2,0,0,0,0,0,0
WNT10B,8,3,5,0,2,2,10,10
CALML6,1,3,1,1,1,8,13,3
REPS2,109,124,147,85,131,164,229,308
MUC3A,22,7,12,13,20,29,66,36
SYAP1,393,267,2584,278,362,1470,1228,1429
ITGAM,203,160,199,181,54,120,127,64
PYDC1,1,5,1,0,0,6,0,0
TPST1,114,292,85,54,71,422,476,704
TM4SF4,0,0,3,0,1,7,4,1
TOR1AIP2,778,1834,745,620,490,1203,1782,1885
S100G,5,0,3,1,0,1,0,0
TM4SF1,988,1471,825,333,292,28310,39092,38575
OTUD3,117,276,169,111,61,272,331,452
OTUD7A,15,24,16,11,1,24,64,59
GUSB,184,340,254,178,192,1208,873,584
BRD3,280,460,243,214,112,166,332,380
KLF13,401,276,457,255,142,668,1398,2054
FRMPD4,0,0,0,2,0,0,6,9
ZFPM2,70,27,52,38,50,63,175,318
ZNF764,26,31,42,41,19,61,72,66
HSFY2,0,0,0,0,0,0,0,0
ZNF747,43,32,32,50,33,34,34,54
ZNF768,119,72,147,79,109,362,249,363
TAS1R3,12,18,50,14,9,7,5,9
TMEM42,26,95,28,26,18,50,44,37
MAP3K2,1302,1840,1391,868,323,741,1615,1696
PUSL1,11,31,68,50,19,72,90,86
SF3B5,94,221,134,119,77,893,598,512
ZNF35,99,324,123,57,52,63,87,107
TIGD4,6,5,3,2,3,4,7,8
IFFO2,132,337,117,43,95,1551,2580,5660
NLGN2,73,175,38,30,48,821,971,1366
MYO7B,9,3,12,5,5,17,43,39
CHD3,1055,1548,606,750,279,2054,2197,2424
TMEM154,170,83,203,241,68,66,73,84
MYRIP,19,14,30,15,9,133,151,310
ALCAM,1328,612,1753,2702,461,2516,2441,2574
YWHAG,1043,1630,1566,1051,681,7531,7252,12002
UBE2E3,138,187,103,69,36,388,482,411
CNTROB,83,181,68,66,59,517,689,677
TRAPPC1,79,90,72,89,75,387,266,227
ZPLD1,0,2,5,14,1,1,3,3
KCNAB3,7,23,5,6,2,32,58,41
SERPINA9,0,0,0,0,0,3,2,2
FAM153A,2,0,1,1,0,0,0,0
GPR37L1,5,5,2,2,2,6,12,10
SIMC1,24,70,91,11,11,46,70,114
TMEM192,133,97,98,130,173,240,300,459
AC106795.1,15,20,14,10,7,8,11,5
NSG2,2,1,2,3,1,3,0,0
SPDYE5,3,15,3,1,0,2,2,0
SERPINA6,0,0,1,0,0,358,17,46
ZNF778,114,347,73,138,45,129,117,142
NIPA1,146,307,316,202,101,144,264,314
FOXD4,0,1,0,0,1,11,1,3
GPR25,2,2,4,0,0,1,0,0
UBE2E1,445,790,468,254,141,1163,1235,1047
HNRNPA3,1058,1745,801,632,279,2797,2499,3204
SIK2,393,530,450,463,156,1345,2648,3685
AL391987.1,0,0,0,0,0,0,0,0
RNF150,140,576,31,140,22,123,227,256
CCDC144A,13,8,6,4,1,6,25,10
AL512625.1,1,1,1,0,0,0,0,1
VGLL2,0,0,1,1,2,0,0,1
,0,0,0,0,0,0,2,0
HOXD4,1,0,0,0,0,1,8,0
CHRNB1,15,14,13,15,37,127,81,88
HOXD12,0,0,1,0,0,0,0,0
GYPA,0,0,1,0,0,0,0,1
USP38,466,451,570,953,377,1361,1396,2151
SLC16A5,21,28,62,64,19,92,95,103
NANP,70,146,83,51,28,52,101,130
ANKK1,2,2,2,2,2,3,4,10
ADRA1B,2,5,0,1,1,2,12,17
ADPRM,36,53,31,35,24,74,127,94
FABP6,0,6,0,3,1,1,0,1
PWWP2A,105,172,190,156,51,129,258,377
USP50,5,0,4,3,0,4,2,2
USP47,839,1028,1139,893,383,1130,1770,2983
PDCD6IP,1048,1931,1223,835,478,1718,2040,2256
MRGPRX1,0,0,0,0,0,0,0,0
ZNF212,43,100,35,22,47,103,124,153
MRAP,0,7,2,1,0,1,0,1
FAM161A,13,48,20,12,6,72,64,93
ZNF282,116,263,141,103,78,228,406,408
GLB1,351,418,448,326,265,509,755,451
GON7,26,38,62,47,26,50,52,44
FAXDC2,45,54,40,76,23,618,498,1100
CRTAP,388,787,324,304,313,3301,2872,3645
HSPB2,0,5,0,1,0,15,6,14
C7orf33,0,1,1,0,0,0,0,0
CNGB3,14,12,6,64,3,1,2,12
SLN,2,0,1,1,0,2,0,3
ELP5,50,160,62,48,39,229,261,197
CMTM8,6,21,29,13,7,146,214,223
GABARAP,20,43,38,33,30,626,517,403
LGALS9B,1,0,0,0,0,0,0,1
STX8,89,135,89,98,48,310,153,174
CDK1,336,882,547,450,99,51,94,23
UBB,473,1129,761,689,601,16647,4529,3892
NFRKB,210,230,259,143,108,423,581,543
FABP4,236,3,83,65,30,1402,4070,2096
FRMPD2,3,0,0,0,0,26,22,20
PRDM10,111,211,136,73,63,238,318,397
B3GNT2,329,389,447,359,283,621,1261,1687
FOS,703,304,295,429,231,19142,13913,22204
TMED10,1583,2627,1924,1270,1082,3393,3759,4026
OR2A20P,7,6,5,10,2,43,12,76
SETMAR,109,177,135,90,50,255,199,184
SMAD1,189,148,146,886,87,194,304,357
CST5,0,1,0,0,0,11,0,0
CST2,13,0,0,5,12,1,0,0
EMX2,4,1,4,2,4,10,23,59
CST1,3,0,0,4,16,3,0,0
SP7,1,0,1,1,1,2,0,0
TCAF2,91,165,63,3,15,80,181,249
SEMA3E,22,0,188,44,142,203,238,294
LRRN2,57,221,18,13,47,51,133,75
SLC30A1,392,896,619,631,247,320,358,980
DCLK2,38,102,42,85,19,103,196,163
ZNF804A,38,6,7,5,1,0,0,1
AC091390.1,0,3,1,1,0,1,0,1
GPRC5C,100,56,75,162,184,363,305,354
TMEM182,20,89,86,22,13,50,53,41
VSTM2A,0,0,0,2,0,3,0,3
KRT8,901,1169,1042,971,1165,17380,9857,12465
KRT78,0,3,2,0,1,29,4,4
ADORA2B,15,92,13,8,14,90,171,199
SDR9C7,1,0,0,0,0,0,1,2
MGMT,53,66,90,50,31,517,313,223
METTL7B,2,22,3,0,8,5,9,2
AC021066.1,4,2,95,24,1370,31,40,51
HARS1,159,226,234,108,97,860,727,711
NFXL1,194,701,386,131,67,120,220,265
KRT75,3,5,1,1,3,3,2,2
DENND5B,254,443,417,102,93,150,245,417
CD14,254,109,333,276,138,473,488,428
DNAJC18,51,16,66,43,24,170,172,234
KRT6C,0,2,0,1,0,4,0,1
RIOX1,39,98,57,44,36,55,70,122
SPATA24,6,4,12,8,3,42,33,9
RALGAPB,1226,1873,854,896,403,763,926,1446
PYM1,88,85,137,98,63,163,137,98
MZB1,101,183,423,49,74,53,33,49
KRT4,4,0,4,0,113,24,3,19
SLC23A1,12,9,19,5,1,19,11,6
KRT74,1,1,0,0,0,0,0,0
NPAS2,213,384,163,34,33,199,315,362
KRT72,0,2,0,0,1,1,0,1
KISS1,0,0,0,0,1,1,0,1
LONRF2,84,80,336,204,23,152,647,320
NUDT9,177,120,102,82,68,473,227,377
HSD17B13,6,2,2,4,0,8,57,32
PA2G4,275,666,421,294,135,1448,1101,1459
COX7B2,5,16,2,0,0,0,0,0
ELOVL6,262,226,278,83,180,92,147,107
KRT83,1,5,1,0,5,15,6,6
PFKFB3,454,406,396,203,154,4048,6507,10199
TMC7,9,39,30,19,28,51,51,61
ARL6IP1,1363,2136,1176,1143,558,2821,3136,3696
SERPINB9,349,103,263,104,103,530,1772,1300
SMAGP,34,125,82,88,27,223,282,298
IRX1,10,14,3,1,1,1186,525,1032
CDH2,52,40,27,417,10,0,30,10
IRX2,43,105,119,115,173,1359,814,1489
EMB,474,96,458,146,147,91,140,124
SIX2,40,57,95,58,67,20,37,24
DLGAP1,12,280,19,8,4,62,159,189
STAT2,1313,1031,1206,556,446,652,1450,1180
NUDCD2,80,146,132,111,69,212,247,213
IRF2BP1,58,39,97,181,66,359,289,441
OR9K2,0,0,0,0,0,0,0,0
HSPA4,587,1348,628,1132,299,4235,1955,2691
FOXA3,0,1,0,30,0,33,25,16
FAM71B,0,0,0,0,0,0,0,0
SLC26A5,8,3,8,33,0,15,71,44
COMMD5,48,164,46,85,38,99,121,102
SGCD,306,84,61,111,125,68,399,404
GTSF1,1,178,1,5,3,2,1,0
DPY19L2P2,6,13,3,5,1,1,11,7
ZNF16,49,235,24,67,30,94,89,83
ARMC10,111,259,85,92,56,218,271,221
RNF34,156,286,176,156,45,350,286,366
ACYP2,46,47,49,30,21,155,161,120
TRABD,90,161,142,76,61,439,679,333
ATF7,263,344,229,342,98,398,662,1135
RASA4B,1,0,0,0,0,0,1,0
SOCS6,805,428,469,473,235,492,988,1255
CAVIN4,3,6,5,3,4,11,12,13
OR10A3,0,0,0,0,1,2,1,2
ZNF296,6,19,22,31,6,44,23,49
OR5E1P,4,0,1,0,0,5,0,2
HOXB9,5,96,2,6,2,64,66,333
TTLL6,0,1,0,0,0,1,1,0
POLH,114,422,130,121,51,185,211,311
SYT9,25,1,4,2,1,45,28,56
KCNS3,147,5,136,59,146,237,234,384
RBMXL2,0,0,0,1,0,0,0,0
KIF5B,2339,3327,2200,2269,977,2401,3492,4706
GPR37,7,24,4,14,3,142,98,166
AKAP13,2183,1518,1614,1252,377,1231,3764,6008
TPD52L3,0,7,0,0,0,1,0,0
CDCA4,43,138,49,62,19,55,120,176
OR10A4,0,2,3,1,0,0,0,0
SDR16C5,6,9,66,417,47,158,91,82
DYDC1,0,1,0,0,0,0,0,0
OR10A2,4,5,12,2,0,0,0,1
CHCHD7,93,271,137,81,76,225,136,198
HTRA3,149,11,81,159,122,183,472,649
FOXN2,398,535,412,262,144,187,460,695
LMOD2,0,2,1,6,0,11,2,4
BFSP2,3,1,3,3,0,0,0,1
FSHR,1,0,0,1,0,0,0,0
CELP,1,0,1,0,1,4,0,0
USP32,345,483,533,407,122,438,551,910
CEL,2,2,97,1,50,58,7,22
PPM1D,90,143,164,180,36,595,815,1239
GPR27,9,4,31,6,14,50,82,146
AC093323.1,110,99,107,78,54,120,104,136
PSG6,1,0,0,0,1,3,0,0
KBTBD2,425,647,492,319,183,928,1767,2333
RIOX2,161,213,456,213,120,309,389,329
TRIAP1,67,187,87,107,53,196,124,114
LILRP2,0,0,1,0,1,0,0,0
LSM3,198,271,236,95,85,520,223,243
KIAA0232,694,635,677,598,452,474,674,1083
MTSS1,223,1553,637,224,199,213,463,370
TMEM43,390,976,366,294,248,638,1428,1478
RNF139,253,827,631,320,127,596,812,805
RPS9,759,458,771,729,556,11515,13715,6525
PLA2G1B,1,0,0,0,1,9,0,4
CYTL1,5,0,10,6,3,40,9,54
TSEN34,143,119,143,120,88,640,396,370
TRH,1,1,0,0,0,23,25,9
GSTA4,119,223,25,278,57,360,192,210
MSANTD4,144,165,134,114,109,141,85,145
NDUFA3,43,28,73,70,44,284,142,96
OSCAR,11,5,6,6,5,12,9,7
PAQR8,100,169,79,45,38,18,42,68
NUDT6,12,41,24,11,6,20,14,16
TPT1_AS1,95,96,49,37,12,643,1606,965
OR7G3,0,0,0,0,0,0,0,0
TANC2,1100,145,1231,2530,317,421,899,1000
OR7G2,0,1,0,0,0,0,0,0
TEX13B,0,0,0,0,0,0,0,0
PKHD1,5,12,3,20,5,8,17,4
OR1M1,0,0,1,0,0,1,0,1
NCBP2L,3,0,3,4,0,5,3,4
DNAJC24,152,111,130,93,39,144,129,131
MBD3L1,0,0,0,0,0,0,0,0
ZNF160,364,326,298,183,119,304,330,393
PGK2,1,0,1,4,0,0,0,0
OR8B12,0,0,4,0,1,0,0,0
ZNF415,46,69,63,20,43,70,85,79
CAVIN3,8,23,16,14,30,105,120,69
CEACAM3,4,0,3,10,0,0,0,0
DCDC1,14,0,11,0,1,17,13,30
HAS2,93,112,37,23,31,338,380,375
PDGFD,134,63,42,136,139,331,807,1954
PLAC1,0,5,0,3,0,3,1,1
DDI1,4,4,4,2,3,0,0,0
LINC00208,0,0,0,0,0,0,0,0
S1PR1,285,56,141,131,171,866,3397,5992
HS6ST2,112,6,12,221,45,133,227,236
OR4D5,0,0,0,0,0,0,0,0
PYGO1,54,27,116,48,40,66,115,189
LRRC8E,2,15,7,5,8,44,57,67
PKIA,48,17,77,35,15,56,94,43
XKR6,62,58,32,13,3,43,37,32
TSNARE1,34,222,50,74,19,149,165,158
FPR2,6,8,18,14,1,5,3,0
FPR1,71,36,68,79,5,30,44,11
PATE1,1,1,0,0,0,0,0,0
OR13H1,4,16,3,0,0,0,0,0
FEZ2,375,548,362,324,193,390,551,467
SOX7,10,11,4,4,5,758,884,2511
C8orf74,1,0,1,1,13,1,0,0
C11orf24,69,188,84,126,66,250,304,371
FAM86JP,7,10,4,2,1,15,4,12
ALK,5,8,13,9,4,1,1,6
KYAT1,23,28,19,5,13,88,55,31
MTM1,157,162,172,130,101,107,255,255
SIGLEC17P,6,6,5,0,9,5,18,33
OBP2B,1,6,1,0,1,75,32,16
TRMT61B,75,117,77,38,73,104,129,106
INSR,510,1401,753,648,289,1061,3169,2575
MFN1,601,1201,706,487,206,502,879,707
GIMAP8,168,74,170,66,60,114,334,528
HSFX1,0,0,0,0,1,0,0,0
NRTN,0,12,3,2,2,2,8,7
KCNMB3,15,31,27,27,4,18,14,21
FUT3,1,8,39,3,145,14,28,16
KCNG3,17,9,3,19,1,10,7,6
ATP6V0E2,115,155,88,47,143,397,272,137
PRKCE,157,112,194,65,71,217,562,1068
OR2K2,0,0,0,1,0,0,1,0
JAGN1,73,366,102,53,41,338,230,203
RLN3,0,0,0,0,0,0,0,0
TADA3,248,333,304,164,152,763,547,460
SOCS5,360,427,274,200,220,514,886,1010
C1GALT1C1,142,250,226,248,101,129,170,116
C9orf16,96,78,102,48,126,483,485,268
MORN4,13,52,9,5,15,51,49,32
ZNF672,96,178,151,142,105,407,380,674
ZNF692,38,118,76,58,59,392,400,237
NAIF1,25,26,41,19,17,117,63,100
RBKS,18,23,26,7,8,659,250,282
OR2M4,0,0,0,2,0,1,0,3
GRIK1,53,10,72,32,8,59,11,16
MUC7,0,0,0,0,0,53,6,1
OPRPN,0,0,0,0,2,1411,32,129
SMR3B,0,0,0,0,0,10,1,7
TMEM126A,79,84,89,64,26,200,106,71
TMEM126B,146,112,152,160,76,114,145,106
TRIM8,217,179,290,226,186,892,1087,1680
NETO2,96,79,93,170,286,194,236,428
CSN3,1,2,0,0,0,8295,99,164
CLDN20,13,43,20,16,1,2,1,1
CDC42BPG,109,135,114,99,106,399,391,406
SCAND1,32,19,53,27,25,198,178,117
JUNB,440,409,523,345,205,11585,11714,18454
FAM241B,20,29,30,24,19,79,47,49
TMEM37,26,27,30,36,13,14,9,21
UGT2B7,0,14,2,1,4,1,0,0
LRG1,13,0,45,35,13,664,374,302
SHCBP1,169,423,138,81,68,9,37,19
SOSTDC1,3,75,0,5,10,129,124,91
NPTX1,13,6,1,5,2,23,57,264
FAM98B,213,460,272,98,78,410,384,438
ZNF439,41,337,26,19,55,60,62,69
ZNF440,114,357,117,79,68,128,166,189
GAA,205,256,114,151,73,1687,1299,1266
CANT1,553,286,676,620,497,538,782,934
KCNK3,12,6,1,0,1,12,24,15
ZDHHC16,99,189,142,111,99,250,156,135
CHST11,323,512,455,215,143,148,362,581
EXOSC1,64,95,96,69,51,188,145,99
PGAM1,32,53,53,17,17,163,238,156
CHD7,1069,2441,1801,347,408,478,821,1367
ESCO2,82,207,64,55,27,7,13,2
KRT19,800,281,1376,1241,1999,9192,13113,7806
KRT15,184,166,15,144,96,8144,5638,11629
LURAP1,11,4,2,3,3,19,12,12
KRT38,0,0,1,0,0,0,0,0
CLCN5,328,255,180,157,113,77,164,153
TPPP,113,27,25,24,38,124,137,367
KCND3,49,10,34,15,26,188,100,206
APLN,12,51,9,19,5,74,122,54
KRTAP4_4,0,0,0,0,0,0,0,0
KRT13,1,0,0,2,1,14,11,2
XAGE3,0,0,0,0,1,0,0,0
KRT9,0,6,0,1,1,29,8,7
XAGE5,0,0,0,0,1,0,0,0
PDE7B,63,20,20,37,27,59,133,270
MRPL36,53,55,59,45,41,95,73,81
ZNF581,33,22,41,52,12,349,454,273
NAT1,38,19,44,54,35,43,42,27
KRT20,4,0,1,4,3,0,1,1
GLOD5,7,0,1,2,0,11,8,5
KSR2,8,29,23,8,4,22,43,36
ZNF524,17,7,26,29,12,132,125,74
MCC,265,481,172,162,99,480,761,1061
KRT27,0,0,0,1,0,0,0,0
ZBTB26,129,266,154,162,69,43,80,59
CDK5R2,0,0,1,0,0,0,0,0
DSEL,62,72,39,138,68,74,159,253
POLR1C,89,434,129,84,66,450,697,625
ASXL1,790,1118,712,330,233,1956,3063,3070
OR1L6,3,0,0,1,0,0,0,0
DLK2,4,6,3,6,3,17,31,27
ZNF562,380,1479,418,309,288,446,1111,821
ZNF318,361,1543,390,306,196,160,281,379
ZNF561,242,595,192,169,184,390,540,485
WIPF2,190,294,359,136,1045,624,765,1379
HOPX,241,7,42,37,69,30,96,40
SPACA5B,0,0,0,0,0,0,0,0
OR1L3,0,2,0,0,0,0,0,0
SSX6P,0,0,0,0,0,0,0,0
NLRP5,2,0,1,0,1,9,53,9
LRRC8C,365,558,398,237,118,708,891,1857
SPACA5,0,0,0,0,0,0,0,0
RSL1D1,546,1217,582,442,455,5353,5207,5608
LRRC8D,222,895,302,176,109,186,223,264
MROH2B,1,0,1,1,2,1,1,1
OR1L8,4,6,2,1,0,2,0,6
PPID,118,200,116,74,48,302,208,183
OR1N2,1,0,3,0,1,0,0,0
COL24A1,77,123,43,67,19,4,10,7
ETFDH,145,141,145,106,78,345,334,353
OR1N1,0,0,0,0,0,0,0,0
RXFP1,1,3,16,0,1,0,1,12
LPAR3,4,51,3,22,23,59,245,64
PTGER4,168,96,236,121,95,337,687,579
TBCA,88,179,121,137,70,673,653,703
NEUROD2,6,1,20,8,1,3,3,0
MAP6,13,0,38,5,19,61,72,98
OTP,0,0,0,0,0,2,0,1
ECEL1,11,5,9,1,6,56,665,149
BCL2L1,240,126,382,262,254,888,980,1030
FGG,2,1,264,1,104,198,3,7
FGA,0,3,0,0,0,117,1,3
OR2AT4,0,2,2,0,0,0,0,0
FGB,0,1,12,1,1,259,1,3
PLRG1,361,465,346,257,174,636,557,535
RAB4B_EGLN2,0,0,0,0,0,0,0,2
ZNF584,37,48,37,32,17,76,79,81
DSCAM,1,2,0,1,2,7,15,13
DNAI2,0,0,1,1,3,4,2,1
NMUR1,0,5,1,1,2,6,4,10
CLSTN1,693,1015,940,634,535,1593,2088,2907
CXXC5,109,98,319,164,126,266,340,434
ZNF274,216,155,111,123,88,450,469,469
PIK3CD,235,231,207,130,61,105,231,202
PTCRA,1,1,0,1,0,1,0,0
SLC25A33,40,87,72,36,34,331,353,188
ENC1,958,531,355,502,274,535,387,773
SPSB1,74,270,112,87,98,1334,1929,3827
P2RY6,17,12,78,13,60,14,7,9
BPTF,1656,1905,2509,1018,667,690,1474,2242
S100Z,9,1,1,2,3,1,1,2
ZIK1,49,99,26,19,37,33,28,49
GPR82,47,50,36,23,9,3,4,2
NMRAL2P,1,1,2,1,2,1,2,2
GPR34,98,63,72,110,71,15,58,30
SHANK2_AS3,2,2,13,9,2,0,0,0
PLEKHG5,41,50,54,15,39,211,316,293
ATF7IP,1852,2141,1298,1022,363,528,869,1120
LKAAEAR1,0,2,3,2,3,0,0,0
RGS19,65,39,98,54,84,43,88,60
TCEA2,42,30,106,19,96,518,385,296
DEFB4A,0,0,0,0,0,0,0,0
ANO5,15,2,25,8,6,19,13,18
HDAC3,118,205,229,148,88,516,588,384
SPATA46,4,16,4,3,0,10,9,6
GPHN,90,218,133,38,42,244,454,468
VAT1L,0,5,3,8,6,81,69,88
TMEM51,80,37,91,75,71,447,453,654
CAMTA1,139,128,115,86,65,948,1273,2207
LGALS4,4,0,0,6,1,56,15,6
LRRC34,13,13,13,13,6,13,12,13
PAH,2,4,5,3,1,3,6,0
SPATA5L1,34,136,86,45,23,131,179,263
GATM,77,102,103,464,110,341,216,156
SYCE1,0,14,0,0,0,16,1,7
NXNL1,0,0,0,0,0,0,0,0
RASGRP4,12,3,6,18,17,15,7,8
NHLH1,0,1,1,1,0,16,3,6
SLFNL1,22,98,15,23,1,11,18,5
BCL2,602,368,357,132,102,455,770,1261
RHNO1,71,161,115,87,37,134,97,91
CTPS1,323,920,345,153,66,207,449,248
UTF1,0,0,0,0,0,1,0,0
KNDC1,23,0,73,1,106,14,33,21
WDR87,1,0,0,1,2,1,0,1
METTL18,54,73,38,77,41,22,30,37
CFAP46,4,1,13,0,2,25,27,13
COL8A2,136,101,95,127,163,133,277,329
PWWP2B,66,61,101,96,88,180,401,305
PCDHB1,2,6,0,0,1,0,0,0
ZNF540,39,13,18,29,7,29,10,22
ANGPTL7,24,44,18,10,4,9,11,27
FBXL14,40,75,87,54,56,474,92,114
EXOSC10,289,675,340,265,105,776,997,999
ZNF570,100,193,73,210,66,65,74,95
NINJ2,20,42,10,22,6,23,31,43
MLLT3,239,250,111,87,46,245,272,354
FAM90A1,4,18,3,1,4,8,1,2
RRM2,227,325,542,62,116,15,18,15
TRAPPC12,259,320,411,198,92,321,375,329
IFNB1,0,1,0,0,0,0,2,0
RPS21,506,646,823,492,341,3571,2450,1789
C3AR1,143,86,194,130,68,24,68,40
MRM3,25,65,25,28,20,213,191,210
PTEN,1020,1360,978,1033,476,908,1533,1662
RPS7,488,641,1153,497,288,2142,3442,1633
PRND,10,34,4,8,7,5,31,34
RNASEH1,78,130,123,38,35,121,128,128
PRNP,523,1885,454,285,337,5614,5316,9976
KLF17,0,1,0,0,3,1,0,2
ADRA1D,1,0,2,0,1,2,4,3
FRMD5,14,56,21,39,4,19,5,10
AQP4,5,12,4,0,4,25,25,19
MIR31HG,3,0,2,0,1,17,16,43
CYP4F11,10,2,14,1,14,60,109,58
TLN2,416,496,262,332,121,323,565,384
LGALS9C,0,0,0,0,1,0,0,0
TVP23B,25,185,58,50,32,137,124,180
FBXW10,1,5,0,2,0,0,1,0
OR10H3,0,0,0,0,0,0,0,0
ZNF217,1456,7344,1200,729,506,865,2588,1901
OR10H2,0,0,0,0,0,0,0,0
SRGAP2C,17,12,4,3,4,7,28,28
OR52A5,0,0,0,1,0,0,0,0
SCG2,5,5,2,15,13,6,10,14
ATPAF2,35,69,42,38,38,151,128,106
CYP4F22,22,1,0,1,5,608,75,63
FOXB1,2,0,1,0,0,0,0,0
PPIH,70,167,89,44,38,169,148,141
DRC3,29,43,16,13,7,142,130,120
ZNF57,22,63,46,13,15,108,85,191
SHLD1,37,23,21,66,9,35,18,24
C11orf40,0,0,0,0,0,0,0,0
JMJD1C,1798,1721,1604,1530,522,4032,9426,10115
LDHAL6B,10,12,12,6,2,7,14,14
SYNPO,140,92,96,97,66,1079,1333,1952
OR52P2P,2,0,0,2,0,0,0,0
ZNF556,2,94,4,2,21,17,10,5
MAL,9,0,14,3,6,9,1,10
ZNF554,38,57,35,14,24,101,87,68
RAB33B,91,113,90,73,75,177,462,440
THOP1,102,188,186,69,78,472,347,155
ANKRD20A4,0,1,0,0,0,1,0,1
REG3A,0,0,0,0,0,0,0,0
GAP43,0,3,1,1,1,5,4,1
REG1B,0,0,0,0,0,0,0,0
EPHX4,18,3,2,2,4,23,28,16
LAMB2,731,587,655,397,692,4690,5690,7514
USP19,304,327,336,223,161,582,613,583
QARS1,367,623,625,410,256,4397,3877,2615
ORMDL3,213,228,2025,2607,6220,922,928,809
SERF1A,0,0,0,0,0,0,0,0
KLF11,156,303,504,145,140,750,1199,1528
LRRC15,249,19,367,395,212,52,32,91
SMN1,8,3,5,3,0,23,22,22
EIF2AK3,311,545,495,241,158,1514,2674,2869
TEX37,0,0,0,0,1,0,0,0
MOB3A,249,140,192,189,141,245,367,534
KRCC1,128,163,188,314,161,244,257,279
