ID_REF,SRR1027177,SRR1027178,SRR1027179,SRR1027180,SRR1027181,SRR1027182,SRR1027188,SRR1027189,SRR1027190
COL1A1,2972,9718,9364,40739,5249,2734,5723,45610,68398
SGCA,7,12,11,8,12,4,23,24,25
PTGES3L_AARSD1,0,2,0,0,0,0,2,4,1
MRPL27,352,316,238,104,257,107,182,132,114
VAT1,3489,1551,1729,1406,1758,1200,2138,1921,2664
LRRC59,1208,793,526,313,410,491,3182,2726,3599
RND2,64,33,25,10,42,153,58,18,20
ALOX12,15,20,14,16,21,11,26,38,26
HDAC5,575,511,430,196,543,221,1331,1466,1309
ABCC3,325,107,130,124,346,303,223,123,178
LUC7L3,1709,2026,1697,669,1331,801,2066,2202,2066
PPY,1,3,4,1,5,1,0,0,0
MPP2,188,165,193,60,190,338,62,113,151
SMURF2,530,407,403,244,349,146,835,1034,1194
DUSP3,1587,523,613,528,803,474,1381,1653,1703
CACNG1,11,59,33,8,24,12,5,1,5
EFTUD2,1440,765,925,462,762,415,891,1105,960
HLF,21,60,105,136,92,65,307,279,949
SLC16A6,583,197,348,62,285,646,20,52,119
PRKAR1A,8073,5130,5065,2091,5048,2221,2826,3834,5145
EFNB3,12,16,12,35,24,11,158,200,209
FAM20A,93,103,121,218,114,43,216,559,612
YWHAE,10987,2147,1584,1540,3794,2196,10544,10103,9987
AC130689.1,1,1,0,3,1,2,5,3,2
MMD,447,204,217,274,162,109,63,108,127
RANGRF,19,18,18,18,28,21,48,33,19
DPH1,305,133,101,67,111,120,449,508,398
MAP2K6,283,146,193,137,190,231,451,605,414
DHRS7B,294,204,211,142,262,79,316,204,196
WSB1,1381,628,791,1128,684,395,2277,3913,4775
RCVRN,1,3,4,5,10,3,11,25,15
MYH1,2,11,22,48,15,7,0,1,7
SLC9A3R1,5276,2843,3138,313,2023,1235,1768,1268,1638
MYH3,25,33,31,43,26,15,61,65,52
NAT9,382,268,287,104,264,65,431,394,224
TMEM104,249,110,100,80,74,84,100,101,129
VTN,16,13,16,5,27,18,7,12,6
TNFAIP1,781,383,441,333,415,296,954,1542,1785
IFT20,247,132,94,95,109,84,166,202,117
TMEM97,448,177,240,44,181,244,261,231,241
CDR2L,604,255,200,143,177,107,798,995,1657
PMP22,1703,408,591,1132,1564,149,1366,2107,3632
FOXN1,14,11,8,4,12,10,4,1,8
UNC119,336,150,184,84,178,121,303,289,231
ALDOC,214,33,40,39,182,9,461,231,280
SUPT6H,755,859,890,553,637,515,1833,2297,3340
RAB34,548,92,184,213,266,324,579,559,506
PHF12,293,233,257,212,235,242,931,872,1374
PHOX2B,3,1,0,0,0,2,0,0,0
TMEM33,1175,1478,1512,850,1641,910,475,712,874
GABRA4,1,7,2,13,7,2,0,1,1
GNRHR,5,22,11,31,19,11,0,2,1
SLAIN2,360,452,393,331,441,285,733,1113,1673
OCIAD1,1189,894,874,630,1325,988,1593,1271,1262
UGT2B10,0,1,1,1,1,0,0,0,0
CWH43,1,3,1,8,3,1,14,24,5
DCUN1D4,524,423,491,423,506,259,308,745,764
USP46,390,359,525,272,499,187,163,296,325
SULT1E1,1,1,0,1,3,0,4,0,1
ODAM,1,3,0,3,1,0,13,0,3
SMR3A,2,1,2,3,1,1,1,0,0
CHIC2,89,65,52,46,58,58,399,649,756
NMU,3,0,1,0,2,1,0,2,1
CRACD,14,69,47,50,32,33,34,63,56
LAMTOR3,769,383,355,246,444,271,354,418,498
PF4V1,0,1,0,0,1,0,4,0,0
NFKB1,1817,292,366,522,567,400,2050,3767,4616
AREG,98,382,137,31,62,137,7202,10773,18285
MANBA,618,220,203,242,195,167,539,393,484
UBE2D3,7384,1920,2146,1319,2873,1329,8350,6382,7219
MAPK10,59,137,353,220,295,56,138,132,139
ELF2,488,320,362,415,442,263,656,845,1084
NDUFC1,265,165,132,114,165,116,491,227,280
UCP1,20,2,0,3,44,0,11,2,1
TBC1D9,3680,7453,6898,3031,5492,8204,3083,2215,3445
ZNF330,393,242,236,136,294,108,849,735,1001
INPP4B,1599,794,918,1211,670,426,633,549,1129
GAB1,290,427,495,398,491,96,479,610,1065
KLHL2,103,120,134,187,175,113,436,634,1295
IL2,1,1,2,1,0,1,0,2,2
CPE,1217,892,985,1288,1369,1429,2922,6015,4802
RPL34,977,803,856,833,1171,562,7741,6531,4614
WFS1,1118,417,332,238,332,477,403,627,833
ANXA10,4,4,1,5,4,5,0,1,0
GRPEL1,699,379,302,104,271,225,1085,1045,1919
GAR1,101,79,104,45,97,57,339,267,309
FRG1,99,73,56,39,73,33,155,129,123
CLCN3,1116,1593,1639,758,2110,799,867,1381,1324
AADAT,26,48,20,33,35,2,49,70,63
GALNT7,1041,597,602,760,1065,1879,421,526,473
DHX15,1629,1628,1728,971,1828,820,4332,4044,5274
SOD3,52,23,28,91,47,14,1085,478,1268
SEPSECS,151,214,226,147,256,130,110,124,147
CPZ,1,9,5,10,4,2,6,29,89
TRIM2,446,392,494,542,354,279,418,1681,927
SLC2A9,68,47,30,51,44,12,195,156,152
FBXW7,321,224,298,281,235,148,607,1040,1413
NEIL3,62,32,38,15,22,49,1,11,0
TBC1D19,85,139,139,100,110,85,120,91,115
CLNK,8,3,14,11,14,2,0,0,0
NSD2,1829,1045,956,499,847,699,499,943,990
SH3D19,423,437,534,966,511,253,860,1426,2241
STIM2,233,298,246,208,286,174,334,530,695
NKX3_2,9,18,12,23,8,1,14,0,1
MFSD10,261,248,170,84,118,97,785,736,563
GLRB,164,87,103,78,229,199,94,138,89
BST1,50,35,38,62,59,27,44,61,79
RAPGEF2,703,585,583,595,499,305,988,2078,2868
HGFAC,27,7,2,3,8,1,8,10,7
SNX25,266,263,273,159,233,104,150,287,359
LRP2BP,41,60,73,59,50,37,84,79,62
UFSP2,420,222,211,211,304,165,325,257,255
KLF3,678,576,541,623,419,429,710,1254,1800
KLHL5,335,222,245,305,258,210,577,674,712
FAM149A,22,22,31,52,55,12,36,74,58
NCAPG,168,138,136,28,104,92,34,42,12
UGDH,1719,2484,1546,1163,1941,3152,4854,4035,4017
PPARGC1A,13,12,26,43,14,82,22,29,84
DDX25,15,15,7,16,53,42,12,7,8
CRYAB,26,27,34,126,29,12,14043,3592,3731
DBX1,1,0,0,0,2,0,0,0,0
HTATIP2,843,215,154,116,360,297,179,176,141
CTSC,2305,403,672,694,865,319,586,773,740
CCDC34,214,118,157,61,171,104,209,137,146
ZBTB16,12,88,49,93,47,58,192,783,1118
ELP4,338,125,191,232,219,95,120,133,148
ZPR1,737,186,186,162,341,129,967,748,883
MTCH2,911,422,498,293,538,418,666,413,341
FNBP4,1145,587,669,532,645,599,1294,3254,3018
TECTA,19,14,21,27,21,12,13,14,22
SC5D,853,414,310,399,623,67,1059,1101,791
CRTAM,23,7,10,22,18,11,23,60,31
JHY,34,29,33,80,113,124,130,93,196
B3GAT1,5,8,19,18,12,8,38,28,70
HSPA8,13356,5667,6637,4426,9035,6349,51728,16419,15669
P2RX3,11,5,8,17,20,7,1,2,4
VWA5A,214,125,167,440,635,105,799,638,761
DNAJC4,181,100,75,81,107,69,695,417,411
SIAE,914,162,103,302,940,173,1137,710,528
SNX15,4,8,8,7,4,7,5,7,4
LPXN,144,51,82,117,61,82,139,114,108
DTX4,155,54,84,82,48,75,192,408,249
ATG2A,312,222,190,134,227,162,300,518,351
EHD1,1108,276,441,281,371,116,2190,1941,3037
OSBP,1026,603,779,556,639,548,1613,2010,3067
UNC93B1,890,171,182,172,211,194,208,144,82
PUS3,169,35,66,53,96,36,311,143,257
DCPS,206,36,53,39,60,31,154,125,94
KMT5B,1089,574,704,559,768,309,701,875,1183
FOXRED1,300,103,93,113,159,77,245,169,126
PPP6R3,2359,1347,1304,925,1178,788,846,1690,1732
NRXN2,18,22,31,30,43,14,134,212,281
MS4A6A,851,205,257,470,476,301,62,144,86
MS4A4A,365,51,71,231,126,116,27,24,24
ST3GAL4,366,101,115,131,85,153,354,355,310
CPT1A,1996,993,664,527,435,288,714,1088,799
CCND1,7210,2255,3381,1948,4449,3131,1055,1692,1861
CCDC86,167,87,77,43,88,58,556,583,849
PRPF19,342,246,219,240,222,190,1790,1732,1521
TMEM109,292,241,284,327,216,189,1445,1593,2105
CCKBR,0,3,5,2,2,1,1,0,1
HPX,28,38,26,100,43,28,431,769,56
TRIM3,103,230,201,150,143,344,228,346,245
CHORDC1,301,145,243,149,216,99,1495,571,698
FOLR1,18,13,5,3,15,4,525,247,189
ANAPC15,94,25,27,17,25,15,94,75,51
FOLR3,2,1,3,6,5,1,1,0,0
PANX1,532,165,176,298,245,131,262,743,880
ARHGEF17,643,380,290,417,263,103,621,900,988
APOA5,2,0,0,0,1,0,0,0,0
APOA4,0,1,0,3,1,1,3,0,0
APOC3,2,4,3,4,4,0,4,0,1
CEP164,369,172,192,218,231,126,280,342,354
RNF141,943,557,799,468,751,417,529,518,629
CEP126,116,127,77,263,425,111,79,106,160
EIF4G2,18631,4600,5937,6141,7336,4914,18340,18643,23677
IL10RA,855,166,209,369,307,239,96,279,110
GALNT18,35,69,33,52,69,54,118,320,377
BIRC2,1571,554,581,677,738,476,1035,2455,2205
UBE4A,916,354,372,537,387,210,386,575,793
DDX6,4975,2004,2464,2561,2694,1204,1873,2430,3662
UPK2,14,9,10,12,19,3,8,4,7
CBL,672,270,303,512,319,225,422,931,1311
NECTIN1,241,226,141,149,86,82,1398,1173,1971
HIPK3,4018,1324,2213,2048,2384,1394,2004,4676,8177
KIAA1549L,143,119,94,185,47,32,71,244,134
FBXO3,965,453,577,422,704,347,457,876,875
PDHX,924,300,304,238,351,498,362,485,615
SLC1A2,494,450,1020,312,783,1522,85,87,148
COMMD9,435,139,156,186,185,135,295,226,154
SLC15A3,586,163,179,298,195,130,105,173,137
CD5,46,24,42,39,33,28,28,28,15
ACCS,169,71,68,117,57,92,291,360,280
SCGB2A2,25635,189,674,1630,454,222,27243,268,680
MDK,405,356,424,445,365,421,1287,1049,995
AMBRA1,477,221,303,290,282,218,451,805,1257
MADD,313,361,286,292,331,359,391,498,564
PTPMT1,74,25,49,35,52,69,86,41,43
NAA40,252,137,230,136,208,173,277,389,275
CARS1,505,181,203,243,360,246,428,823,712
SLC22A18,49,18,20,46,21,59,234,168,125
CD81,853,576,554,1067,549,801,6367,5928,7232
SLC35F2,461,64,71,33,134,64,364,716,1083
C11orf21,24,13,19,11,13,14,8,9,3
ELMOD1,2,4,4,9,5,1,5,1,2
CALCA,0,1,3,5,5,1,9,2,3
SOX6,34,59,45,62,44,12,36,86,56
C11orf58,2576,994,1655,632,2051,644,1920,2310,2025
PITPNM1,375,85,91,92,97,56,397,356,379
RPS13,500,204,297,403,356,304,6451,5840,4234
AIP,492,188,255,154,411,138,487,456,373
NUP98,1453,679,688,935,994,913,3754,4616,8027
NDUFS8,387,213,181,113,203,242,499,285,180
TCIRG1,424,200,188,299,233,242,515,571,325
CHKA,346,284,269,126,215,133,936,801,1048
EXPH5,537,156,216,230,342,66,245,454,467
HPS5,541,187,299,279,349,181,571,647,812
GTF2H1,544,192,264,301,314,175,607,651,619
POU2AF1,72,26,44,33,36,51,34,24,68
PTPN5,6,7,5,11,20,9,3,7,9
VWF,655,1174,1143,2029,972,566,2363,3014,2478
PSMD9,79,71,81,51,116,48,162,172,109
P3H3,58,177,136,219,116,126,250,320,272
PPFIBP1,1463,965,986,1256,963,392,652,1178,1513
PRPF40B,74,57,81,36,85,45,100,104,79
CD69,126,34,133,39,62,110,22,155,91
PRDM4,500,349,391,222,339,237,517,639,1086
CLEC2B,185,62,103,150,96,33,133,171,213
COQ5,305,153,256,125,273,147,282,174,127
SELPLG,199,74,108,124,162,57,112,111,86
CORO1C,1850,460,548,955,606,436,2139,4563,5463
ASIC1,52,36,37,32,65,7,99,89,99
DAO,4,10,3,13,13,2,1,0,0
CAPRIN2,151,169,194,163,144,122,189,268,285
TSPAN11,34,26,66,76,56,27,86,167,257
KCTD10,1528,545,714,560,713,265,1191,1419,1708
SLC11A2,1347,614,805,364,784,599,859,1132,1382
MLEC,1376,719,1031,845,1005,798,1284,1296,1984
MVK,112,66,89,52,74,104,226,155,141
CSRNP2,689,411,495,361,501,255,1456,1145,1608
CAMKK2,993,443,679,423,785,358,463,888,725
BIN2,229,51,81,85,128,55,30,40,42
IL23A,16,9,6,4,9,7,37,66,32
ATP5F1B,7455,2896,2969,2266,4829,2909,11089,7548,6831
PTGES3,1490,973,1089,727,1157,661,5654,2929,3470
SYT10,0,3,2,0,8,1,3,2,2
BCL7A,111,182,185,89,181,55,143,245,406
RSRC2,289,275,413,267,401,198,2086,2508,2806
CYP27B1,79,24,20,21,24,11,109,103,97
MYF6,2,0,0,2,0,1,0,0,0
MYF5,3,3,0,2,2,1,0,0,0
LIN7A,67,391,297,105,345,34,199,109,336
KRT18,1290,653,648,294,614,368,11823,6370,7239
ACSS3,849,423,530,194,683,304,197,226,231
TNS2,336,240,375,422,378,223,1144,1298,2078
GLI1,13,13,30,29,21,11,16,51,35
PPM1H,1662,460,481,271,493,315,237,268,303
METAP2,1202,587,610,365,740,341,1732,1690,2111
LTA4H,854,564,641,374,720,359,1598,1380,1228
ELK3,526,316,457,518,392,218,868,2266,2982
SLC6A12,14,19,12,23,46,14,47,20,21
WNT5B,49,20,23,30,27,7,43,62,94
MAGOHB,275,144,158,118,142,136,81,95,78
TRPV4,94,20,34,45,22,23,107,98,67
ITFG2,139,126,149,125,126,70,322,247,228
FOXM1,313,54,63,33,45,92,73,120,25
PRR4,5,7,1,2,1,2,25,52,59
PRMT8,12,15,12,15,38,11,0,1,0
PARP11,176,214,179,145,222,126,99,106,147
ARPC3,193,107,131,152,134,106,1118,842,657
GPN3,241,105,140,61,213,96,265,185,190
VPS29,778,462,588,400,624,389,386,480,328
FGF6,1,1,3,2,4,1,0,0,0
MYL2,3,1,3,3,4,0,0,1,0
RAD51AP1,156,51,72,43,52,79,21,60,34
CUX2,20,15,30,58,320,20,54,89,91
SH2B3,431,215,205,411,272,192,355,989,1397
AKAP3,17,13,8,4,27,5,15,10,5
MANSC1,29,32,35,62,52,168,161,199,237
KCNA1,2,9,15,25,22,4,20,107,155
DUSP16,954,1082,783,550,880,1553,2716,3598,5467
CREBL2,892,616,573,615,889,637,674,683,943
ACAD10,276,131,210,166,222,207,327,271,259
ALDH2,1032,490,884,642,626,266,934,639,666
CDKN1B,719,235,495,454,743,345,752,1706,1806
GPRC5D,4,10,7,11,5,1,17,22,21
NAA25,711,293,392,305,360,318,457,1048,757
GSG1,7,11,4,7,15,20,2,0,0
SCNN1A,774,66,168,114,279,340,1003,598,945
LTBR,233,147,121,158,200,168,952,1001,1201
OGFOD2,9,6,20,18,9,3,2,2,8
CDK2AP1,883,284,374,315,378,227,684,727,503
OAS3,2885,557,572,951,436,1771,281,586,376
OAS2,1811,295,294,722,311,890,159,430,316
ART4,2,77,35,9,10,5,0,8,7
MGP,8298,10617,19175,2987,12733,2493,39040,17253,21952
RASAL1,2,9,13,4,13,10,80,83,54
ARHGDIB,1424,587,849,819,830,330,1682,1187,1181
GTF2H3,386,277,379,182,457,166,192,256,218
EIF2B1,263,201,338,160,259,127,466,428,404
DDX55,317,171,337,121,303,120,219,177,216
SLC38A1,8453,11291,10306,1929,7832,3949,1892,3742,5790
RERGL,2,6,31,19,24,10,49,43,37
ENDOU,4,7,6,6,13,2,38,114,87
C12orf49,1324,385,614,384,697,225,550,418,634
VDR,700,293,292,333,229,429,707,1169,2731
FZD10,7,14,11,9,62,6,62,113,93
RFC5,243,87,170,83,155,87,151,147,130
STX2,226,92,117,150,124,82,139,173,153
ADGRD1,21,21,56,144,44,23,53,80,161
COPZ1,1892,1010,1073,731,1424,1058,2511,1483,1482
TBC1D30,432,174,277,92,285,90,299,207,353
CAND1,3511,2079,2236,1360,2094,1344,1909,2938,3315
IL26,1,0,4,1,0,0,0,0,0
IFNG,7,0,5,4,7,4,10,17,7
RAB5B,3308,1936,1894,1042,2365,1061,2606,2474,3028
MDM1,295,132,197,103,168,159,100,119,92
NUP107,1896,465,636,322,664,315,547,776,834
CNOT2,945,565,662,576,565,355,628,982,1039
TIMELESS,173,248,194,85,142,197,253,257,154
CPSF6,1672,1165,1268,814,1094,780,1207,1680,1803
KRR1,1129,481,466,299,555,319,413,530,502
MRPL51,624,441,388,164,501,198,803,367,375
GAPDH,6477,2951,2169,1827,4172,2593,21886,21317,13516
NOP2,13,11,17,10,12,11,117,91,86
CHD4,88,121,118,125,123,106,343,348,475
ACRBP,27,24,22,15,21,8,20,16,11
UHRF1BP1L,1433,516,640,558,674,640,600,1061,1180
COPS7A,415,371,269,249,301,167,695,385,364
ING4,222,311,239,176,295,139,192,176,122
GNB3,16,33,26,8,22,7,15,17,27
CDCA3,74,59,44,22,36,33,25,34,14
CHPT1,721,266,350,386,404,529,1447,1268,1315
USP5,901,858,632,348,748,575,723,591,394
TPI1,1039,655,586,494,810,759,3610,3104,4131
GNPTAB,987,497,585,766,577,447,330,526,736
SPSB2,57,25,29,35,35,17,119,55,50
ENO2,273,502,271,102,418,219,370,371,469
ATN1,124,274,277,281,186,213,4036,3856,5628
C12orf57,256,218,264,146,370,233,558,426,277
PTPN6,227,139,155,144,220,133,343,210,173
LPCAT3,96,83,86,53,66,62,352,325,425
NT5DC3,125,69,85,119,116,195,364,757,981
SLCO1B3,0,0,0,0,0,1,0,0,2
APOBEC1,0,0,1,2,3,0,0,0,0
NANOG,2,4,1,5,2,2,0,0,0
SUDS3,1074,616,1080,362,1040,570,651,882,924
GOLT1B,1101,345,343,503,392,291,263,423,392
GYS2,0,0,0,0,0,0,0,0,0
LDHB,113,67,39,50,78,28,417,315,229
PRKAB1,420,175,281,159,345,156,597,332,335
CMAS,753,247,292,152,367,249,285,307,348
HCFC2,600,188,314,333,322,155,154,279,327
ST8SIA1,39,51,64,69,41,43,57,63,45
CLEC4A,5,2,0,3,5,7,0,3,3
C2CD5,1076,650,694,550,809,616,477,619,686
AICDA,6,6,5,5,10,2,0,3,0
RAB35,1011,421,617,247,650,194,700,922,1235
PHC1,29,46,39,35,31,25,133,141,197
COX6A1,293,144,213,72,165,135,354,225,163
AL021546.1,0,0,0,0,0,0,0,1,0
RFX4,8,7,4,8,12,4,0,0,0
RIC8B,203,213,252,202,242,213,235,194,326
SRSF9,776,388,553,163,567,241,1005,1000,887
AC009533.1,6,15,14,5,9,7,7,5,13
FGFR1OP2,610,364,425,320,489,220,690,899,1127
KLRB1,26,18,13,12,16,13,33,31,23
COL12A1,8559,8157,5440,25450,3974,1453,774,2123,2550
BTN3A3,228,101,165,180,167,176,269,308,379
TDP2,954,362,396,319,523,495,232,207,222
FRK,1247,425,323,633,501,154,156,348,481
DSE,949,341,378,850,411,174,233,497,565
RWDD1,442,221,310,254,419,120,493,471,547
RSPH4A,13,20,20,21,20,12,25,16,16
MAK,12,19,33,41,22,48,144,96,234
TMEM14C,759,363,426,372,557,587,907,794,390
PAK1IP1,348,89,135,102,142,93,247,265,224
GCNT2,638,19,45,121,139,28,467,1146,407
SMIM8,112,58,67,114,80,24,50,65,53
NEDD9,1432,251,446,351,427,187,4609,9348,15775
CEP85L,183,71,111,179,94,76,75,179,428
ADTRP,23,8,15,26,18,4,41,10,18
ASF1A,250,158,199,175,244,94,97,86,109
MCM9,100,131,128,110,103,83,186,260,387
FAM184A,51,41,29,27,36,16,266,320,607
RNGTT,260,123,144,143,141,69,177,319,369
MAN1A1,733,502,859,1307,747,397,542,1263,1774
GABRR2,6,4,7,4,9,2,8,23,8
SERINC1,3798,2420,2919,2557,4917,1340,4663,5640,8557
HDDC2,378,194,305,135,316,73,319,244,193
TPD52L1,447,86,165,91,142,201,832,694,511
HINT3,227,265,281,188,237,127,439,652,650
NCOA7,452,230,325,367,400,122,3222,8262,6914
RIPOR2,147,66,139,94,107,59,59,117,147
SASH1,826,299,664,905,500,156,844,3097,4868
UST,83,42,51,92,107,86,80,268,306
ULBP1,3,6,3,3,4,0,63,17,31
FBXO5,459,65,83,37,91,42,101,110,136
MTRF1L,147,46,48,24,48,11,77,82,94
PPARD,209,119,143,134,124,37,683,808,1138
OPRM1,11,2,8,8,10,6,0,0,0
FANCE,109,31,42,33,50,10,69,70,86
TULP1,11,12,7,7,10,1,3,2,7
SLC26A8,3,4,8,17,16,7,2,3,9
MAPK14,1264,508,552,586,548,268,371,520,627
RHAG,28,2,3,1,3,0,2,1,2
KCTD20,2272,781,894,1063,899,370,1151,2691,2491
STK38,586,270,241,357,230,88,555,951,964
SRSF3,2925,1231,1389,916,1795,1008,6181,5993,6881
SOD2,3216,856,1256,1214,1259,838,16400,53120,64704
MRPL18,1371,298,396,191,460,111,1576,279,306
IL17A,1,0,1,4,2,0,0,1,2
IL17F,1,2,2,0,1,0,1,1,0
MCM3,2202,602,690,365,754,294,563,698,709
RNF8,293,139,100,91,131,60,192,194,203
PHACTR1,83,73,75,95,85,112,64,109,113
MDGA1,40,97,105,90,82,28,25,66,129
ICK,627,422,501,315,429,121,139,284,316
FBXO9,1176,501,570,343,670,230,578,615,363
CD83,203,65,124,95,91,144,696,902,1107
MDN1,1052,769,694,681,581,296,701,1392,1318
GLP1R,8,10,23,14,22,10,6,12,20
SAYSD1,382,266,334,122,340,116,146,151,212
BMP5,4,2,3,7,6,5,164,59,67
BACH2,45,36,65,112,64,27,237,1286,1193
RBM24,17,303,126,186,102,53,25,36,47
CAP2,508,269,297,308,299,436,196,251,243
TREML2,10,7,8,5,15,4,0,0,1
ZNF451,2207,786,990,929,1034,404,435,691,793
BAG2,97,49,79,167,93,21,55,40,54
RAB23,284,100,148,208,177,40,82,157,121
TSPO2,3,3,3,1,3,2,0,1,0
FHL5,42,25,34,32,38,17,86,216,389
GPR63,38,45,22,7,19,6,6,9,15
KHDRBS2,3,4,7,1,3,0,1,0,0
FBXL4,572,518,362,347,553,236,131,270,262
CCNC,994,386,321,454,384,263,947,1419,895
PRDM13,1,6,2,1,2,1,0,0,1
E2F3,328,103,132,155,143,128,115,532,692
PTP4A1,11,3,11,8,4,7,46,15,5
SIM1,24,27,17,25,18,0,8,19,29
ASCC3,1463,516,637,938,684,402,532,837,1244
HDGFL1,0,2,0,0,2,0,0,0,0
BVES,34,22,27,45,17,28,54,81,90
COL9A1,8,4,6,9,15,5,1,10,8
MED23,1279,619,738,652,842,211,285,455,502
WASF1,30,34,55,60,42,18,173,272,402
GPLD1,40,18,37,24,29,41,14,16,24
ALDH5A1,388,265,372,97,257,626,146,167,172
CRYBG1,812,755,787,630,528,138,707,987,1659
VNN1,85,14,17,23,20,9,4,33,5
VNN2,10,4,8,14,6,4,2,11,2
ACOT13,312,183,236,129,246,215,142,89,109
SMAP1,283,79,72,76,73,37,116,162,205
RPS12,3663,801,1317,1274,1734,527,20277,14753,10951
C6orf62,4894,1649,2150,1927,2619,2031,1895,2414,2780
B3GAT2,21,7,3,14,9,4,1,21,12
GMNN,299,75,122,35,112,99,186,191,142
EYA4,38,12,11,15,10,1,4,10,9
SOBP,14,21,27,53,23,2,115,226,442
NR2E1,1,4,3,0,3,1,17,0,2
SNX3,1117,486,603,688,865,229,2342,1441,1232
SLC17A2,4,3,5,7,2,1,0,0,0
HBS1L,2193,572,674,385,731,257,711,723,737
TRIM38,816,291,327,424,360,407,394,459,535
PEX7,289,84,118,70,147,132,158,112,94
ZBTB24,216,152,134,182,127,97,59,75,117
FIG4,201,271,283,306,323,135,345,204,206
PERP,2682,743,1267,646,900,143,4779,5255,5070
ARFGEF3,3928,1943,2129,1795,2314,1855,728,799,660
SLC16A10,42,9,18,80,26,8,18,35,30
HECA,1480,490,534,607,613,320,1025,2225,2716
ADGRG6,950,72,70,107,94,27,174,236,207
PHACTR2,1181,551,523,833,726,201,205,674,1069
EPM2A,173,89,85,95,129,39,91,86,70
OR12D3,0,1,1,1,1,1,0,0,0
SLC39A7,1528,532,582,647,716,860,2488,2383,2777
CCR6,2,0,6,1,6,0,4,8,1
UNC93A,2,8,3,7,2,0,0,1,0
SLC22A2,11,6,7,10,6,2,0,0,0
PHF1,278,175,176,166,306,191,1494,1366,1515
CUTA,1173,763,647,305,999,731,2202,1427,1164
PACRG,8,10,8,2,44,2,21,24,22
QKI,4115,927,1310,1993,1354,567,1348,3073,4238
C6orf118,0,3,5,5,3,0,1,0,1
PDE10A,169,154,138,280,224,99,218,232,458
MDFI,139,33,50,137,137,44,261,166,281
TFEB,106,53,70,77,93,47,191,305,425
SMOC2,416,456,431,1090,562,781,1672,1636,2756
CCND3,427,178,172,161,416,158,1355,1051,851
BYSL,181,76,65,41,75,41,581,445,548
FAM120B,638,254,241,291,192,152,236,397,564
TBP,387,121,117,78,124,57,94,110,120
GUCA1B,9,3,8,7,5,4,24,23,26
PRPH2,12,7,15,40,27,4,7,17,19
BICRAL,630,431,474,457,591,204,286,314,712
PPP2R5D,444,233,182,117,152,59,418,390,554
MRPL2,234,63,66,51,105,24,261,198,143
PTK7,1181,629,663,1199,512,120,930,1293,1266
SRF,771,291,299,197,362,117,2351,3047,4486
CUL9,301,271,263,215,216,103,514,484,382
DNPH1,292,111,124,45,133,27,154,127,57
DUSP22,118,73,105,123,92,48,398,395,406
EXOC2,1378,562,758,504,806,370,339,305,356
COX7A2,1021,606,480,207,625,195,394,349,181
TMEM30A,1444,959,1137,1499,1116,499,1431,2189,3107
GMDS,393,54,62,86,188,120,531,425,271
SENP6,1516,653,723,897,923,379,1726,2150,3072
IMPG1,8,11,7,33,10,4,17,32,5
VEGFA,1559,953,520,326,386,503,3242,7300,8741
PRPF4B,2179,838,1099,848,1067,424,1174,1853,2441
TTK,273,57,73,47,53,60,20,47,6
SLC29A1,2112,636,752,461,891,315,900,922,1241
CCN6,3,10,8,11,6,3,53,24,13
BTN2A1,539,214,228,159,210,146,392,656,794
LAMA4,1397,1137,992,2737,801,393,735,2986,2509
TENT5A,492,180,244,500,546,110,1198,1031,993
CLIC5,607,30,52,62,49,15,98,287,223
FBRSL1,60,92,102,60,97,61,504,690,717
ENPP5,499,163,203,214,237,282,168,224,215
LY86,137,33,29,80,79,32,17,14,5
PRSS16,8,14,15,6,87,4,290,174,187
MEP1A,7,4,7,2,6,1,0,0,1
TBX18,107,99,116,282,108,25,104,217,439
ERBIN,2874,1970,2246,1713,2346,1459,903,1825,2726
PCDHB2,15,26,41,21,30,24,24,40,74
HARS2,350,329,386,220,348,164,225,221,158
NUDT12,237,394,384,238,530,396,115,123,98
CEP72,50,41,38,12,19,24,22,56,49
MAN2A1,1664,871,1204,1234,1665,431,475,950,1422
SEMA5A,772,1414,773,1169,493,197,462,933,1695
C7,117,88,365,274,289,175,917,458,434
TENT4A,115,223,136,136,98,76,787,1157,1494
GHR,70,153,167,443,199,48,199,491,371
HMGCS1,808,515,536,312,458,607,913,2074,1383
DAP,724,611,380,597,288,409,2058,1752,1439
NME5,31,40,24,44,58,69,60,39,39
BRD8,411,760,546,308,643,287,486,613,453
KIF20A,155,61,87,43,62,60,17,32,7
NNT,1286,761,719,560,931,846,224,487,330
MRPS30,830,3804,2122,430,1714,8133,458,423,475
HSPA9,2352,2219,2754,1080,2811,1897,5181,4839,5027
MRPS27,499,404,421,299,535,426,718,951,629
PFDN1,323,182,189,159,206,122,521,453,440
HBEGF,88,41,54,21,43,81,7185,1927,5694
SLC4A9,8,14,8,8,13,3,4,1,0
LOX,709,387,461,1194,334,101,214,794,1548
GZMK,42,7,14,15,21,16,6,5,2
CDH9,3,2,2,0,2,0,0,0,0
APBB3,121,121,115,87,112,80,242,218,169
TMCO6,38,31,43,28,44,31,109,80,52
SPARC,18668,14684,15184,37815,11211,3641,10159,28969,32648
IK,706,562,585,273,749,262,1541,974,1601
HMGCR,544,529,503,407,572,624,900,1545,1351
CERT1,409,418,413,459,412,212,310,531,767
FAF2,716,797,581,447,543,408,723,654,937
